,Non-ponded Ag. Area,Non-ponded Ag. Deliveries,Non-ponded Ag. ET from Groundwater,Non-ponded Ag. ET from Other Sources,Non-ponded Ag. ETAW,Non-ponded Ag. Effective Precipitation,Non-ponded Ag. Inflow as Surface Runoff,Non-ponded Ag. Pumping,Non-ponded Ag. Shortage,Non-ponded Ag. Supply Requirement,Non-ponded Potential CUAW,Refuge Area,Refuge Deliveries,Refuge ET from Groundwater,Refuge ET from Other Sources,Refuge ETAW,Refuge Effective Precipitation,Refuge Inflow as Surface Runoff,Refuge Potential CUAW,Refuge Pumping,Refuge Shortage,Refuge Supply Requirement,Rice Area,Rice Deliveries,Rice ET from Groundwater,Rice ET from Other Sources,Rice ETAW,Rice Effective Precipitation,Rice Inflow as Surface Runoff,Rice Potential CUAW,Rice Pumping,Rice Shortage,Rice Supply Requirement,Urban Area,Urban Deliveries,Urban Inflow as Surface Runoff,Urban Pumping,Urban Shortage,Urban Supply Requirement
Arvin-Edison WSD A,9.72419E+11,1.54382E+11,NA,NA,1.86979E+11,35046930754,NA,1.31841E+11,-27195643249,2.59027E+11,2.46076E+11,0,0,NA,NA,0,0,NA,0,0,0,0,90219367.08,26080145.27,NA,NA,24564535.31,3714000.186,NA,41076929.63,22355244.17,-3804551.364,44630838.07,1.05877E+11,0,NA,4772763263,-6.18E-11,4772763263
Arvin-Edison WSD B,7.81943E+11,1.4481E+11,NA,NA,1.58616E+11,25649215766,NA,98427257169,-24618256269,2.18619E+11,2.07688E+11,0,0,NA,NA,0,0,NA,0,0,0,0,56424548.96,18158775.89,NA,NA,15542446.87,2218195.42,NA,25943262.21,12615488.53,-2608446.558,28165817.86,99193541200,0,NA,2575500081,-6.93E-12,2575500081
Belridge WSD,9.40595E+11,2.64879E+11,NA,NA,2.16495E+11,32155734967,NA,99365079347,-1.0093E+11,2.63314E+11,2.50149E+11,0,0,NA,NA,0,0,NA,0,0,0,0,283709404.1,249786083,NA,NA,74945357.84,10015391.9,NA,121560121.8,24750980.74,-141927921.4,132609142.4,51244661035,0,NA,994885194.2,439858.2817,995325052.5
Berrenda Mesa WD,5.40967E+11,1.21967E+11,NA,NA,1.25671E+11,20264184186,NA,62773689601,-18592631896,1.66148E+11,1.57841E+11,0,0,NA,NA,0,0,NA,0,0,0,0,168467014,66901175.13,NA,NA,44335284.5,5975551.23,NA,71880510.59,33467223.66,-21926529.51,78441869.28,7283302901,0,NA,251775809.9,0,251775809.9
Buena Vista WSD A,6.51849E+11,1.57885E+11,NA,NA,1.42808E+11,14986562621,NA,1.7768E+11,-39500618865,2.96065E+11,2.81262E+11,0,0,NA,NA,0,0,NA,0,0,0,0,132770524,56030892.18,NA,NA,34389636.72,4752147.482,NA,56050241.08,18153068.88,-12969216.45,61214744.61,21022976349,0,NA,889489996.1,0,889489996.1
Buena Vista WSD B,46272298858,17256027671,NA,NA,7622309366,1036072588,NA,5206598512,-9424838251,13037787931,12385898535,0,0,NA,NA,0,0,NA,0,0,0,0,794541.2638,706527.5804,NA,NA,213679.2901,30309.41977,NA,357406.3371,77257.67434,-395077.3125,388707.9422,1537043795,0,NA,295071267.6,0,295071267.6
Buttonwillow Improv Dist,9.637E+11,1.86186E+11,NA,NA,2.18365E+11,39397060421,NA,1.03437E+11,-54846044475,2.34777E+11,2.23038E+11,0,0,NA,NA,0,0,NA,0,0,0,0,220740753.9,178621482.7,NA,NA,58196466.24,8474321.08,NA,94055444.34,17433105.3,-93401970.33,102652617.7,13577748190,0,NA,823201313.7,1.82E-12,823201313.7
Camelo WD,5.86349E+11,1.0246E+11,NA,NA,1.53307E+11,22103900605,NA,1.27741E+11,-14261618586,2.15939E+11,2.05142E+11,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,47982319043,0,NA,3679649007,7.28E-12,3679649007
Groundwater Only A,3.27537E+11,16129012412,NA,NA,63693332812,12075707075,NA,98642542453,14167503173,1.28939E+11,1.22492E+11,0,0,NA,NA,0,0,NA,0,0,0,0,215015475.4,10992285.2,NA,NA,51735369.12,8341830.839,NA,107392249.5,79560665.05,25213814.64,115766764.9,7752761143,0,NA,749440467.3,21270280.74,770710748
Groundwater Only B,1.44811E+11,7369225961,NA,NA,27282572159,5554182208,NA,38605829014,-6525619659,39449435316,37476963550,0,0,NA,NA,0,0,NA,0,0,0,0,22531500.44,316332.266,NA,NA,6158738.518,846015.5838,NA,10285874.41,10924721.01,-67972.25632,11173081.02,6473099197,92551.04812,NA,978654134.7,0.636954041,978746686.4
