,Non-ponded Ag. Area,Non-ponded Ag. Deliveries,Non-ponded Ag. ET from Groundwater,Non-ponded Ag. ET from Other Sources,Non-ponded Ag. ETAW,Non-ponded Ag. Effective Precipitation,Non-ponded Ag. Inflow as Surface Runoff,Non-ponded Ag. Pumping,Non-ponded Ag. Shortage,Non-ponded Ag. Supply Requirement,Non-ponded Potential CUAW,Refuge Area,Refuge Deliveries,Refuge ET from Groundwater,Refuge ET from Other Sources,Refuge ETAW,Refuge Effective Precipitation,Refuge Inflow as Surface Runoff,Refuge Potential CUAW,Refuge Pumping,Refuge Shortage,Refuge Supply Requirement,Rice Area,Rice Deliveries,Rice ET from Groundwater,Rice ET from Other Sources,Rice ETAW,Rice Effective Precipitation,Rice Inflow as Surface Runoff,Rice Potential CUAW,Rice Pumping,Rice Shortage,Rice Supply Requirement,Urban Area,Urban Deliveries,Urban Inflow as Surface Runoff,Urban Pumping,Urban Shortage,Urban Supply Requirement
Alta ID A,21944534692,5548912232,NA,NA,4256286718,2042806845,NA,1003221393,-143476.4615,6551990149,6224390641,17678745.67,5343070.105,NA,NA,4708981.749,258462.5111,NA,10311869.32,5631752.176,2.81E-10,10974822.28,0,0,NA,NA,0,0,NA,0,0,0,0,28711831139,0,NA,1659213025,0,1659213025
Alta ID B,30217503706,6677890319,NA,NA,5812832763,2844014690,NA,1998941190,-107298.6602,8676724211,8242888000,25879731.8,7512360.952,NA,NA,6828534.912,393575.4928,NA,14767252.49,8225381.482,-1.21E-10,15737742.43,0,0,NA,NA,0,0,NA,0,0,0,0,49984549075,0,NA,2855344396,-1.46E-11,2855344396
Alta ID C,41913201034,6346245401,NA,NA,8234005657,3794542769,NA,6982203370,-75785.18251,13328372986,12661954336,15399343.25,4069640.464,NA,NA,3984744.725,202935.5244,NA,8801120.359,5308955.267,2.33E-10,9378595.731,0,0,NA,NA,0,0,NA,0,0,0,0,69861643964,0,NA,5370314276,4.55E-13,5370314276
Coelho Family Trust,4110173607,184424588.9,NA,NA,676010770.5,399527224.9,NA,631285749.4,-22591.0971,815687747.3,774903359.9,0,0,NA,NA,0,0,NA,0,0,0,0,46240977.59,0,NA,NA,10006855.68,4308431.22,NA,15745713.35,17610237.93,-3.82E-10,17610237.93,1165161065,0,NA,12696063.67,9.09E-13,12696063.67
Consolidated ID A,36349099618,0,NA,NA,6313017294,3643696943,NA,8711963416,7.43E-08,8711963416,8276365245,0,0,NA,NA,0,0,NA,0,0,0,0,278808845.5,0,NA,NA,62127845.66,23483800.02,NA,95451399.92,107192501.3,-4.52E-10,107192501.3,24918688089,0,NA,526121292.8,-1.14E-13,526121292.8
Consolidated ID B,20292908809,343179250.3,NA,NA,3551752358,1999668697,NA,12050476306,1.50E-07,12393655557,11773972779,0,0,NA,NA,0,0,NA,0,0,0,0,98800684.33,0,NA,NA,21364942.78,9415812.425,NA,33580223.57,37602677.54,-2.61E-10,37602677.54,22566650186,0,NA,327071069.8,0,327071069.8
Fresno ID A,48621088727,2709957908,NA,NA,8817203035,4850582983,NA,8862103202,-90257.37789,11571970852,10993372309,0,0,NA,NA,0,0,NA,0,0,0,0,34949633.74,0,NA,NA,7648252.365,3247867.263,NA,11856540.38,13304614.82,-4.15E-10,13304614.82,72545118868,0,NA,1032396165,-4.55E-13,1032396165
Fresno ID B,14188973200,1731596521,NA,NA,2562241479,1402296023,NA,1652900343,-114919.4334,3384381944,3215162846,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,19309067848,0,NA,254383834.2,0,254383834.2
Fresno ID C,33357238963,6593934349,NA,NA,6282652389,3073521366,NA,2728934156,-168664.1821,9322699840,8856564848,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,48725949252,0,NA,683241314.5,-7.28E-12,683241314.5
Garfield WD,1659174887,408475022.5,NA,NA,312227580.2,150153378.2,NA,51136309.15,-8914.837552,459602416.8,436622296,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,2340893532,0,NA,32228250.97,0,32228250.97
