Subregion,ElementID
Raisin City ID,23560
Raisin City ID,23561
Raisin City ID,23655
Raisin City ID,23656
Raisin City ID,23657
Raisin City ID,23658
Raisin City ID,23659
Raisin City ID,23660
Raisin City ID,23661
Raisin City ID,23739
Raisin City ID,23742
Raisin City ID,23743
Raisin City ID,23744
Raisin City ID,23745
Raisin City ID,23746
Raisin City ID,23747
Raisin City ID,23748
Raisin City ID,23749
Raisin City ID,23750
Raisin City ID,23751
Raisin City ID,23752
Raisin City ID,23753
Raisin City ID,23754
Raisin City ID,23829
Raisin City ID,23830
Raisin City ID,23831
Raisin City ID,23832
Raisin City ID,23833
Raisin City ID,23834
Raisin City ID,23835
Raisin City ID,23836
Raisin City ID,23837
Raisin City ID,23838
Raisin City ID,23839
Raisin City ID,23843
Raisin City ID,23921
Raisin City ID,23922
Raisin City ID,23923
Raisin City ID,23924
Raisin City ID,23925
Raisin City ID,23926
Raisin City ID,23927
Raisin City ID,23928
Raisin City ID,23929
Raisin City ID,24011
Raisin City ID,24012
Raisin City ID,24013
Raisin City ID,24014
Raisin City ID,24015
Raisin City ID,24016
Raisin City ID,24017
Raisin City ID,24018
Raisin City ID,24019
Raisin City ID,24094
Raisin City ID,24095
Raisin City ID,24096
Raisin City ID,24097
Raisin City ID,24098
Raisin City ID,24099
Raisin City ID,24100
Raisin City ID,24101
Raisin City ID,24102
Raisin City ID,24185
Raisin City ID,24187
Raisin City ID,24188
Raisin City ID,24189
Raisin City ID,24190
Raisin City ID,24191
Raisin City ID,24272
Raisin City ID,24273
Raisin City ID,24274
Mid-Valley WD,22576
Mid-Valley WD,22577
Mid-Valley WD,22677
Mid-Valley WD,22678
Mid-Valley WD,22679
Mid-Valley WD,22680
Mid-Valley WD,22681
Mid-Valley WD,22682
Mid-Valley WD,22780
Mid-Valley WD,22781
Mid-Valley WD,22782
Mid-Valley WD,22783
Mid-Valley WD,22784
Mid-Valley WD,22785
Mid-Valley WD,22786
Mid-Valley WD,22787
Mid-Valley WD,22893
Mid-Valley WD,22894
Mid-Valley WD,22896
Mid-Valley WD,22897
Mid-Valley WD,22898
Mid-Valley WD,22899
Mid-Valley WD,22900
Mid-Valley WD,22901
Mid-Valley WD,22905
Mid-Valley WD,22906
Mid-Valley WD,23025
Mid-Valley WD,23026
Mid-Valley WD,23027
Mid-Valley WD,23028
Mid-Valley WD,23029
Mid-Valley WD,23030
Mid-Valley WD,23031
Mid-Valley WD,23032
Mid-Valley WD,23033
Mid-Valley WD,23034
Mid-Valley WD,23163
Mid-Valley WD,23164
Mid-Valley WD,23165
Mid-Valley WD,23166
Mid-Valley WD,23167
Mid-Valley WD,23168
Mid-Valley WD,23169
Mid-Valley WD,23170
Mid-Valley WD,23171
Mid-Valley WD,23172
Mid-Valley WD,23173
Mid-Valley WD,23174
