CO_MTRS,X,Y
10M10S13E33,-120.554230418257,37.0180584862163
10M11S12E25,-120.608572299275,36.946541864778204
10M11S12E27,-120.64480920344,36.945653179467
10M11S12E32,-120.677120107161,36.932046385765
10M11S12E34,-120.644967815103,36.929114802368396
10M11S12E36,-120.60858752515499,36.929602950205
10M11S13E02,-120.518132778783,37.004971916779
10M11S13E03,-120.536132528095,37.0059107035212
10M11S13E04,-120.55419750851699,37.005897411217106
10M11S13E06,-120.58767489033998,37.0027147832826
10M11S13E07,-120.58384254366699,36.988721572645204
10M11S13E08,-120.572296317347,36.9888804433176
10M11S13E09,-120.554258652809,36.988233702307895
10M11S13E11,-120.518137887761,36.9862633442419
10M11S13E13,-120.49995883883301,36.971485987368204
10M11S13E14,-120.51809863562599,36.9767897374465
10M11S13E15,-120.536182561199,36.9766753627623
10M11S13E16,-120.554280496812,36.9743752495673
10M11S13E17,-120.572318849947,36.974384287395104
10M11S13E18,-120.585910526967,36.974397000875896
10M11S13E19,-120.58594044425301,36.9594869597698
10M11S13E20,-120.572371638816,36.960022668081
10M11S13E21,-120.554323041502,36.9600226711385
10M11S13E22,-120.53622527185101,36.9561277781807
10M11S13E23,-120.518089453505,36.9633507954184
10M11S13E24,-120.499978002372,36.9600237966829
10M11S13E25,-120.49997951486999,36.945208311940206
10M11S13E26,-120.51814268817301,36.9488189752022
10M11S13E27,-120.536300751274,36.948803717138404
10M11S13E28,-120.55441319834,36.9452313833266
10M11S13E29,-120.572424704313,36.9452943770023
10M11S13E30,-120.590460930245,36.943305107222706
10M11S13E31,-120.59046643532801,36.9307663861057
10M11S13E32,-120.572464409678,36.9303448175361
10M11S13E33,-120.55446918328501,36.9311305783653
10M11S13E34,-120.53647516951901,36.932753665576
10M11S13E36,-120.49996553815001,36.930491494314104
10M11S14E31,-120.48186431368299,36.9305467021984
10M12S11E13,-120.71884840190799,36.889393007874396
10M12S11E14,-120.732861980431,36.8871127177185
10M12S11E24,-120.718211162754,36.8700355390424
10M12S11E26,-120.736026697736,36.857657001146706
10M12S11E27,-120.754087041983,36.8549905478575
10M12S11E35,-120.735717641097,36.8431842696074
10M12S12E06,-120.69670265049999,36.91551650780921
10M12S12E07,-120.700266893422,36.900299055302796
10M12S12E17,-120.68132660257099,36.887073659856796
10M12S12E18,-120.700018158701,36.8870183746531
10M12S12E19,-120.699763987187,36.87006796364871
10M12S12E20,-120.681229233278,36.870107988636
10M12S12E24,-120.608589068568,36.8701575077735
10M12S12E25,-120.608539156905,36.8583969935704
10M12S12E26,-120.626727883312,36.8583879667549
10M12S12E27,-120.64493834592399,36.8580117428975
10M12S12E28,-120.6630644923,36.8579964723286
10M12S12E29,-120.68118305743499,36.857933553677896
10M12S12E30,-120.699591791926,36.8578801571669
10M12S12E31,-120.699387309591,36.8433215453482
10M12S12E32,-120.68114651458,36.843384521006605
10M12S12E33,-120.662999215634,36.8434226457818
10M12S12E34,-120.644852251049,36.8434702753628
10M12S12E35,-120.62668212846,36.84350267926521
10M12S12E36,-120.60847391461,36.843586663393104
10M12S13E01,-120.49993663008699,36.9158967396358
10M12S13E02,-120.518081437334,36.915976859741995
10M12S13E03,-120.536256361787,36.91651477899921
10M12S13E04,-120.55443283613899,36.9167379834859
10M12S13E08,-120.57258190789801,36.9027211525318
10M12S13E09,-120.55447614123501,36.902555166171
10M12S13E10,-120.536099415102,36.9057384011344
10M12S13E11,-120.517937055544,36.905658282751006
10M12S13E13,-120.499860136911,36.887958338817896
10M12S13E14,-120.517887391287,36.887687571029296
10M12S13E15,-120.536116312818,36.885995789701
10M12S13E16,-120.554348309584,36.887218386557
10M12S13E17,-120.572479861825,36.8904322903221
10M12S13E20,-120.572180356175,36.8701860884645
10M12S13E21,-120.55415150131999,36.8702013106342
10M12S13E22,-120.53607493598899,36.8702241671507
10M12S13E23,-120.517901055196,36.8702298786125
10M12S13E24,-120.499826492895,36.8702890032818
10M12S13E25,-120.499801828226,36.8575576418157
10M12S13E26,-120.517942562656,36.858293915007
10M12S13E27,-120.53611193666,36.860172626165294
10M12S13E28,-120.55416728877701,36.860172635068395
10M12S13E29,-120.572220028191,36.8581814296579
10M12S13E30,-120.590390347243,36.8581184733191
10M12S13E34,-120.53612640202299,36.8432699664619
10M12S13E35,-120.517988005756,36.843790709059
10M12S13E36,-120.499812049646,36.8421574651961
10M12S14E17,-120.46892739894899,36.8877598051113
10M12S14E18,-120.481744151103,36.8879029506179
10M12S14E19,-120.481705372014,36.873140317480605
10M12S14E29,-120.46349218271901,36.8557963143986
10M12S14E30,-120.481654353344,36.8575576329727
10M12S14E32,-120.463637938154,36.8421120829587
10M12S20E01,-119.738651252371,36.9140559332036
10M12S21E07,-119.720505038297,36.9034569050456
10M12S21E18,-119.720458138024,36.8865463654669
10M12S21E19,-119.720422931618,36.8743184052811
10M12S21E20,-119.702055784482,36.8770307122124
10M12S21E34,-119.665937274862,36.843501614650705
10M12S22E29,-119.593289262519,36.8594738632575
10M13S11E03,-120.755451560879,36.828194483222205
10M13S11E10,-120.75568745305401,36.8109651719929
10M13S11E11,-120.73751845260901,36.8176756226055
10M13S11E14,-120.737818545392,36.7997219443369
10M13S11E22,-120.756006903591,36.7880738381265
10M13S11E24,-120.720036224354,36.782167012683
10M13S11E25,-120.720237515751,36.7697350010556
10M13S12E01,-120.611096218293,36.8290605407526
10M13S12E06,-120.701339737559,36.8298558349377
10M13S12E08,-120.68358898838899,36.814232969142395
10M13S12E09,-120.66552108166701,36.8144312928756
10M13S12E12,-120.61135524744101,36.8145782487589
10M13S12E13,-120.611581900741,36.8000368489361
10M13S12E14,-120.62968353675501,36.8000138923868
10M13S12E15,-120.64771963935,36.7999833097013
10M13S12E16,-120.665679157689,36.79978306936079
10M13S12E17,-120.683678302234,36.7997334360942
10M13S12E18,-120.70177976892201,36.7967408763404
10M13S12E19,-120.7019492659,36.7851729207773
10M13S12E20,-120.683857050837,36.786210553145295
10M13S12E21,-120.66588830378201,36.786267806757294
10M13S12E23,-120.629881059434,36.785541157522395
10M13S12E24,-120.61180461702,36.7855220688982
10M13S12E25,-120.612110874398,36.771064623516295
10M13S12E26,-120.630090523115,36.7710512423554
10M13S12E27,-120.648146414874,36.7709825179048
10M13S12E28,-120.666208132866,36.7689449678231
10M13S12E32,-120.68438287256399,36.7564638853995
10M13S12E33,-120.666355925743,36.7565860203083
10M13S12E34,-120.64829059924601,36.756666121354606
10M13S12E35,-120.630269466912,36.7568435369648
10M13S12E36,-120.612381897434,36.7568455104938
10M13S13E01,-120.502897564396,36.8292531288524
10M13S13E07,-120.593292513442,36.814486680487704
10M13S13E18,-120.59351267224399,36.79998150113
10M13S13E19,-120.593746889634,36.7854935044738
10M13S13E21,-120.55773923557899,36.7875915965777
10M13S13E22,-120.539740311815,36.78759164469879
10M13S13E23,-120.521801153139,36.7851960743716
10M13S13E25,-120.5041119018,36.770673747476
10M13S13E27,-120.54011543017499,36.7707729055461
10M13S13E30,-120.59407299923599,36.7709807010769
10M13S13E33,-120.55835989561899,36.7567483596322
10M13S13E34,-120.540392141548,36.7567083442193
10M13S13E35,-120.52240911946998,36.7566664680568
10M13S13E36,-120.504339641635,36.7566683613034
10M13S14E02,-120.412811842196,36.829008540369394
10M13S14E03,-120.43073098706499,36.8291035191225
10M13S14E04,-120.44876423550899,36.8290755670481
10M13S14E05,-120.46687623072701,36.8276736430855
10M13S14E06,-120.48487944365,36.8278721485229
10M13S14E07,-120.48522910969,36.8149462379458
10M13S14E08,-120.467201901502,36.8151960694594
10M13S14E09,-120.44911675911501,36.812348374451204
10M13S14E11,-120.412972251577,36.8144061313711
10M13S14E12,-120.394917808778,36.814354538200604
10M13S14E13,-120.395124617297,36.800032413525
10M13S14E15,-120.431201064607,36.799866748702996
10M13S14E16,-120.449323270907,36.8011314706832
10M13S14E22,-120.43137144705099,36.7889244764256
10M13S14E23,-120.413333654566,36.78897782967721
10M13S14E24,-120.39533333598999,36.7856169433246
10M13S14E25,-120.39559016464099,36.771046509580295
10M13S14E26,-120.413668741121,36.770973202259604
10M13S14E27,-120.431828388048,36.770785912582795
10M13S14E29,-120.468236795227,36.7717930703665
10M13S14E31,-120.486431070741,36.7566759740017
10M13S14E33,-120.45036583013001,36.756702428276796
10M13S15E18,-120.379889340289,36.7999471303592
10M13S15E20,-120.358951128221,36.781998616894796
10M13S15E21,-120.34006481461701,36.7857239130098
10M13S15E27,-120.323360831895,36.770817618541
10M13S15E28,-120.341681517559,36.76734074020371
10M13S16E25,-120.177693259854,36.769663931944706
10M13S16E27,-120.21399441678999,36.7717989211876
10M13S16E29,-120.250408337211,36.7671746932694
10M13S16E31,-120.26907660797899,36.7555969152069
10M13S16E33,-120.23202860546301,36.756229647624295
10M13S16E35,-120.195953658535,36.7568489206288
10M13S16E36,-120.177638672239,36.756894390975205
10M13S17E10,-120.105625794303,36.8113786942555
10M13S17E11,-120.087514359129,36.8158637693005
10M13S17E12,-120.069548287286,36.8165823735657
10M13S17E13,-120.069447180646,36.8007349664668
10M13S17E14,-120.08744181578399,36.800693171845396
10M13S17E15,-120.10556469977101,36.80012699081529
10M13S17E16,-120.12363479855401,36.798010076788294
10M13S17E19,-120.159701865933,36.7833621930857
10M13S17E20,-120.141707504275,36.786112301672794
10M13S17E21,-120.123577518805,36.7861483211545
10M13S17E22,-120.10548949343,36.7861842525174
10M13S17E23,-120.08737284378,36.786222156283294
10M13S17E24,-120.069355339765,36.7862637864539
10M13S17E25,-120.06926345956002,36.771729765661796
10M13S17E26,-120.08730385259399,36.771699546955
10M13S17E27,-120.10541093746201,36.771665548661296
10M13S17E28,-120.123506585091,36.7716314701853
10M13S17E29,-120.141665161463,36.7715917311886
10M13S17E30,-120.15965788564199,36.7715500375609
10M13S17E32,-120.141622373483,36.7580458275475
10M13S17E33,-120.123445059578,36.7596154031689
10M13S17E34,-120.105330547483,36.7570475969272
10M13S17E35,-120.087234901554,36.7570778263629
10M13S17E36,-120.06917165043501,36.757104224833704
10M13S18E01,-119.96123355398001,36.829792723973796
10M13S18E02,-119.979272702863,36.8299731080585
10M13S18E03,-119.98964477568899,36.8298246020563
10M13S18E04,-120.012580649408,36.8254614332641
10M13S18E07,-120.051532551578,36.8144746844633
10M13S18E08,-120.033507933879,36.8128198293251
10M13S18E09,-120.015368113405,36.813658951198704
10M13S18E10,-119.997168202031,36.8130170134315
10M13S18E11,-119.97930837628901,36.8151961211143
10M13S18E12,-119.96128291209801,36.815261257673605
10M13S18E13,-119.961350873075,36.7973036216739
10M13S18E14,-119.97934244553998,36.8006619775605
10M13S18E15,-119.99717507588998,36.800712711065295
10M13S18E16,-120.015379547528,36.800848689024
10M13S18E17,-120.033500065701,36.8008126654422
10M13S18E18,-120.05145842208,36.800774741343005
10M13S18E19,-120.051379931668,36.7862997974388
10M13S18E20,-120.0334921487,36.7863338721959
10M13S18E21,-120.01539455227899,36.786366066416896
10M13S18E22,-119.997184370516,36.7862986802485
10M13S18E23,-119.979374620529,36.7862575234213
10M13S18E24,-119.96140073343001,36.786328474154296
10M13S18E25,-119.961471065667,36.7716455507537
10M13S18E26,-119.97940674786001,36.7716260966189
10M13S18E27,-119.997191725138,36.7717707714539
10M13S18E28,-120.01540954291599,36.771807108625104
10M13S18E29,-120.033484239156,36.7717845029864
10M13S18E30,-120.05130140528601,36.7717599760196
10M13S18E31,-120.05122103754101,36.7571305319508
10M13S18E32,-120.033474422275,36.7571531056886
10M13S18E33,-120.01542262389401,36.7571737801192
10M13S18E34,-119.99719531139999,36.756991998968395
10M13S18E35,-119.97943894887501,36.756891038783294
10M13S18E36,-119.961543139844,36.7569664242551
10M13S19E06,-119.943183067579,36.829091894472604
10M13S19E07,-119.943219396602,36.815326484469296
10M13S19E19,-119.94332379459699,36.7863994239715
10M13S19E21,-119.907446729699,36.786529708964295
10M13S19E27,-119.88936234038601,36.771807160450294
10M13S19E29,-119.925419930577,36.7718847152745
10M13S19E30,-119.94338651712499,36.7716821441769
10M13S19E31,-119.94344907092501,36.7570144920575
10M13S19E32,-119.925409936215,36.7570873439882
10M13S19E33,-119.907349024336,36.757356682279394
10M13S21E12,-119.63693484862,36.815814572178795
10M13S21E13,-119.636972647728,36.8013149207867
10M13S21E24,-119.637012471628,36.7868343808374
10M13S21E25,-119.63705227528999,36.772273743224794
10M13S21E26,-119.65498230373801,36.7722584368499
10M13S21E27,-119.67295620537399,36.7722412454711
10M13S21E34,-119.672957853657,36.7576937969836
10M13S21E35,-119.654997306656,36.7576920096235
10M13S21E36,-119.637090175072,36.757688221949394
10M13S22E18,-119.61896443572999,36.801273040594296
10M13S22E22,-119.564805880231,36.786636199256
10M13S22E23,-119.54682263447799,36.7865485857013
10M13S22E24,-119.52880270979799,36.786477995927896
10M13S22E25,-119.528842495055,36.7720985726364
10M13S22E26,-119.546850995931,36.772180491029204
10M13S22E27,-119.56487826812099,36.772211025706795
10M13S22E28,-119.583016180915,36.7722395687948
10M13S22E30,-119.619066913944,36.7722871326913
10M13S22E31,-119.61911626979901,36.757682533157
10M13S22E32,-119.601232019326,36.7576730475522
10M13S22E33,-119.583073093517,36.757659758131396
10M13S22E34,-119.56495040320601,36.7576464488632
10M13S22E35,-119.54687730021799,36.7576542055509
10M13S22E36,-119.528878291705,36.7576065306723
10M13S23E27,-119.456905325154,36.771752966226394
10M13S23E29,-119.492612658993,36.7719307402502
10M13S23E31,-119.510910571572,36.7574731066991
10M13S23E32,-119.49265925066601,36.7586573702134
10M13S23E33,-119.47480022466699,36.757964950459794
10M13S23E34,-119.45698854427602,36.7597519729729
10M14S12E01,-120.612525560502,36.7422830542359
10M14S12E02,-120.63040773318701,36.7423402791353
10M14S12E06,-120.70235043416001,36.7425231604467
10M14S12E07,-120.70216564301799,36.7266447745394
10M14S12E08,-120.6846111133,36.728473961370604
10M14S12E09,-120.66660311533998,36.7283900715092
10M14S12E10,-120.648530758773,36.728214562773296
10M14S12E11,-120.630516734038,36.7271769194644
10M14S12E12,-120.61261294872699,36.7271426502084
10M14S12E15,-120.648581515314,36.7138199191405
10M14S12E17,-120.68465454452401,36.7140069252431
10M14S12E24,-120.61277811182501,36.699072454969794
10M14S12E26,-120.630692797476,36.6846415137227
10M14S13E01,-120.504619277636,36.7408775722481
10M14S13E02,-120.52268586827499,36.7408775337243
10M14S13E03,-120.54057612880399,36.741808207919796
10M14S13E04,-120.558565326404,36.7418960076532
10M14S13E06,-120.594529797376,36.74205995345871
10M14S13E07,-120.59461301060101,36.7275933128915
10M14S13E08,-120.57666829507299,36.727461217702896
10M14S13E09,-120.558723346746,36.7274134493098
10M14S13E10,-120.540704448495,36.727308601249106
10M14S13E11,-120.522776312386,36.7271522381206
10M14S13E12,-120.50479448225599,36.72704729665679
10M14S13E13,-120.50489523781602,36.712593931929796
10M14S13E14,-120.52285765571301,36.712738387961394
10M14S13E15,-120.54085767811199,36.7128986543904
10M14S13E16,-120.55885782763,36.713060747297
10M14S13E17,-120.576786688009,36.7095951130801
10M14S13E18,-120.594684027757,36.716677088715294
10M14S13E19,-120.594791722181,36.698772893266394
10M14S13E20,-120.576833188577,36.6986794079916
10M14S13E21,-120.558928892267,36.700838511231396
10M14S13E22,-120.54096445643101,36.700779336957005
10M14S13E23,-120.522995857059,36.6982196531296
10M14S13E24,-120.50500498316002,36.700991443776005
10M14S13E25,-120.505122083074,36.681932747770794
10M14S13E26,-120.523089361435,36.684458082333
10M14S13E27,-120.54105093440599,36.6862491293694
10M14S13E28,-120.55901719939502,36.685654141767294
10M14S13E29,-120.576932181073,36.68416267953221
10M14S13E31,-120.594977301885,36.670366919650796
10M14S13E32,-120.577037450598,36.669479981834996
10M14S13E33,-120.559086736539,36.668879160462396
10M14S13E34,-120.54111763428699,36.6694531673583
10M14S13E35,-120.52317638985001,36.6692870456742
10M14S14E01,-120.39605245107401,36.7384946469246
10M14S14E04,-120.450434236191,36.7416935543574
10M14S14E05,-120.468556067386,36.7416079003899
10M14S14E06,-120.486551847694,36.741592763406295
10M14S14E07,-120.486678113347,36.7270491477212
10M14S14E08,-120.46853440317,36.7271692447829
10M14S14E09,-120.450469542558,36.7240906351449
10M14S14E16,-120.450576586751,36.7122689891207
10M14S14E17,-120.46869211388099,36.711502286041004
10M14S14E18,-120.486864414356,36.7115022902385
10M14S14E19,-120.48692317334199,36.7009508573263
10M14S14E20,-120.46878205033701,36.698049760584205
10M14S14E21,-120.45073174596399,36.6981086874329
10M14S14E29,-120.468931828812,36.6835652247859
10M14S14E30,-120.48703726241301,36.683540523158705
10M14S14E31,-120.48717389400299,36.6690180114346
10M14S14E32,-120.469121700584,36.6689836190918
10M14S15E06,-120.377968171379,36.740281781232
10M14S15E08,-120.360089072749,36.723779339028795
10M14S15E36,-120.28858528548,36.6717601139935
10M14S16E04,-120.232165821913,36.7420772451538
10M14S16E05,-120.250603878483,36.7418810929403
10M14S16E06,-120.26925339251999,36.741820230571896
10M14S16E12,-120.17766989081301,36.7276778240632
10M14S16E20,-120.25122102013799,36.6998301595955
10M14S16E21,-120.232954300947,36.700041786485706
10M14S16E26,-120.196726699011,36.6841912954171
10M14S16E27,-120.215021934839,36.682587349022604
10M14S16E28,-120.233289144114,36.6823108778022
10M14S16E29,-120.25150714290501,36.68163229457279
10M14S16E31,-120.270260462511,36.666108605804205
10M14S16E32,-120.251768386543,36.6661086508472
10M14S16E33,-120.23350081170099,36.6689654841824
10M14S16E34,-120.215293986124,36.6691215890758
10M14S16E35,-120.196899050973,36.669397871470004
10M14S17E01,-120.06907963406,36.7425111521559
10M14S17E02,-120.08716583943199,36.7424827933208
10M14S17E03,-120.105251961691,36.742479481294495
10M14S17E04,-120.123360971252,36.742458684727396
10M14S17E05,-120.14157470973,36.742361921772705
10M14S17E06,-120.159544487631,36.7423832451867
10M14S17E07,-120.159604761021,36.7277214728048
10M14S17E09,-120.123415094909,36.7306542854025
